texts,labels
不要把我当成小孩子呀！哼，儿歌我会唱，但不能你叫我做什么就做什么哦。,2
你看，是那个轮椅，居然被丘丘人捡走了！,2
喂！公报私仇是不允许的呀！,2
还有这样砍价的吗！不管怎么说也太…,2
啊，两个人一下子就跑远了。,2
呜…好难解释啊！不要逼我编故事。,2
要来了，把他们统统打趴下！,2
更阴森更吓人了！这个地方到底有什么用意啊！,2
喂喂，卖唱的，我看你明明什么都知道，那就给点提示呀？,2
闹鬼是不好的！小朋友你明白吗？,2
看到他不舒服是正常的！我也这样！,2
哼，你这只打劫商队的坏螃蟹，这下看你往哪跑！,2
居然利用劣势，反而接近了仙祖法蜕…？！,2
哼，叫我们小偷的人，我才不会同情呢！,2
欸？我们还没开口呢！神子你怎么抢先一步啊？,2
快把你的阴谋诡计招了！,2
这个达达利亚总是把事情搞砸！明明知道情况危险，也会不管不顾地执行下去，对冒险家来说绝对是大忌！所以我们都很忌惮他。,2
啊，好生气。这个人怎么自说自话的。,2
看来最早要陷害龙二的人一定就是他！可恶的家伙！,2
不行，我不死心！我要再试一次！,2
你、你只是想炫耀自己很冷静吧！,2
他们现在走了，但肯定会再来找麻烦。,2
你这个人说话我们再也不会相信了！,2
惩罚这样的词也太夸张了啦，毕竟你除了说过一些吓人的话，还有对火一太严格，又没做错什么事。,2
想不到结果居然会这样，那些不解风情的贤者们…,2
怎么可能随便就把万叶的消息告诉这种人啊。,2
欸？你说什么都没发生？明明我还这么期待…,2
要不是现在发现了这本书，我们根本不知道她做的这些。,2
调查的时候，我们所有的推断，都建立在你们不是坏人的基础上！,2
只有你一个人觉得好玩，我们都快吓死了…,2
骗人！那根本就是块普通木板吧！,2
唔…好生气！我说他怎么走得那么干脆！,2
没想到至冬国会为了执行官的私心，这样滥用工业资源…,2
哇，真是让人烦躁的态度！,2
竟然真的有过这样的人…他、他明明跟我们见过那么多次面，老是跟我们作对…,2
居然有这样的事，根本不给人活路嘛。,2
这人到底怎么回事，就知道拿怪怪的刀乱挥，还莫名其妙的，连句道歉都不讲。,2
温迪，你跑到那边去干什么？我们要丢下你不管啦！,2
那当然了，就在眼前发生了意外，有谁能不被吓一跳啊。,2
当然啦！纳西妲别听他胡说八道！,2
什么？！找猫这样的小事都要拜托她吗？！,2
真是绝了，这种人怎么还没饿死。,2
你这家伙，肯定是不干正事呀，这下被人投诉了吧。,2
花散里她一直想要保护神樱树，这群不听话的小狗狗居然想破坏它，不可原谅！,2
欸，怎么这件事突然就跑到我们头上来了呀？,2
啊，差点就把重要的事忘记了！,2
这里可是璃月港，要遵守璃月港的律法！,2
唔唔唔！气死我了！我可以打他吗！,2
根本就只是甜甜花而已呀——！,2
呜…竟然反过来把难题抛给我们…,2
喂，你这个推理也太强行了吧！,2
不行不行，没有这个我的日落果就浪费了！,2
你们！你们是三十人团的家伙吗？是来抓我们的吗？,2
真是的，出门度个假还遇到这些家伙…,2
天领奉行说你们霸占了这块公用的合影板，搞得其他人都没法用了。,2
哼哼，天外有天，人外有人！你在这里等着，我们马上就带他过来！,2
什么？你…你果然在酝酿可怕的阴谋！,2
唔欸！这不是玛塞勒么，你又跑过来是要做什么！,2
明明就是你不想打吧！那我们不跟小王子玩，跟你玩好了！,2
…哇，这人讲话真是过分。,2
骗人，你的手上明明什么也没有，不许敷衍我们！,2
这条老狗太难对付，就算他真的履行承诺，主动权还是在他手上。,2
啊不对！我刚刚说不要理你了来着…,2
真粗心啊，这种纸条要是被别人看到了怎么办？还有笔记本，也没带走…,2
花角玉将的团队简直就像是散装的！策略这方面远远不如我们三个嘛！,2
喂，林尼，这种事怎么不告诉我们！,2
欸不对不对！这么明显，肯定是陷阱吧！,2
呼…吓死我了，竟然还有突击检查环节！,2
莱依拉说得对啊，做事不能太极端！不管海妮耶经历过什么，我们都不能看着她胡来！,2
他以为不断重复溶解的过程就能找到办法吗？他也太疯狂了！,2
埃尔欣根！你这个卑鄙的家伙，准备好迎接我们的怒火了吗！,2
你的神之眼！也太随便了吧，就这么交给别人了？,2
真是的，你居然把真正的身份瞒着我们！,2
那为什么会这么理直气壮啊！,2
说不定她就是被这些人威胁了，才没办法告诉我们实情？,2
这一切还是你们的阴谋吗！,2
怎么办，和他根本讲不通…,2
他又在笑我！什么意思啊他！,2
快说！你这家伙，肚子里装了什么坏水？,2
喂！不用这样突然装失忆吧！,2
可恶的谣言，还有阴谋论，果然都是骗人的！,2
放牛的！别在这么多人面前叫我矮堇瓜！,2
我发誓，如果你真的对我挥刀，我会让你的国家…,2
喂，你不会打算答应他吧！,2
不说了，我要第一个吃，你们就饿着吧！,2
这是什么话呀！我明明是专业的提瓦特向导，还是你最好的朋友，你居然要拿我的战斗力开涮！,2
听上去好辛苦，换作伊迪娅一定受不了吧。,2
可是出现在这里会影响我们度假啊！,2
大叔，你是不是小看我们？,2
喂喂，你、你确定自己没问题吗？别吓唬我们呀！,2
喂，怎么突然就变成这样啦！,2
喂，你说句话啊，别发呆了！,2
可是你明明一直跟着我们…,2
欸欸！两百万可以砍价砍到六百，稻妻人的金钱观念是不是有什么问题！,2
——凯亚，他在打你的宝藏的主意！快点把他抓起来！,2
我们是受邀来这里的，是贵客！凭什么这样对我们…,2
这个九条孝行实在太坏了！我们应该跟影告发他！让他罪上加罪！！,2
喂喂，你们现在就要打吗？,2
好过分…还没开打就假设我会输…,2
…不可以！怎么想都不可以吧！,2
哦，这一看就是那个狐狸女人搞出来的。,2
你只是在惹人生气，哪里有缓解紧张气氛啦！,2
喂！别说那么不合时宜的话啦！,2
别说雷泽了，我也这么觉得！的确是在说酿酒这件事，但根本没什么细节嘛！,2
明明都已经这么虚弱了，居然还在说这种话。,2
你这家伙！啊啊好讨厌这家伙的嘴巴，好烦啊！,2
在这么危险的地方出现可疑人物，我觉得一定没有好事。,2
如果是那个人的话，说不定正在天领奉行门口大肆摇滚呢！,2
说了半天，这不还是面子的问题吗！,2
呜啊！你你你、你是哪位？怎么还偷听我们说话？,2
你把我排除在外了！我明明也很擅长察言观色！,2
原来如此…不对，我其实早就看出来了，你一直是在硬撑而已！,2
喂！这个怎么想都不会有人喜欢吧！,2
你要是不答应，我们就…抢走这家伙的帽帽！,2
这家伙说话口气怎么还那么大啊！明明已经是囚犯了。,2
呜哇——一斗这个家伙，连邀请函都需要代笔吗？真是没救了…,2
怎么好像迪娜泽黛这么一说，就显得靠谱多了，你们是串通好的吧？,2
不行，我们现在就去把他们抓起来！,2
喂！你为什么要攻击我们！,2
刚才你说得没错…你身份特殊，虽然不是刺客，但也不能在这里被抓到！,2
这样做对你有什么好处嘛！你怎么也变成劝学的坏大人了！,2
可恶啊…光是听着你胡说，我就好憋屈！绝不能让你得逞！,2
你为了让被溶解的恋人薇涅尔重新回到你身边，不断地寻找少女进行人体实验。,2
看起来有必要确认一下书的内容了，说不定可以抓住什么把柄！,2
你、你这家伙，竟然这样说我！,2
喂，装傻可是没有用的哦！快说，你抢这么多机械零件干什么？,2
呜…这些家伙！装得比谁都稳重，却这么爱度假吗！,2
