texts,labels
噗…,5
重磅新闻？你这嗅觉可不可靠啊…,5
喂，我们不是来听这个的吧？,5
除了教你规则，还要给你弄个秘典之盒才行。,5
噗嗤…,5
欸，你俩怎么聊上了？,5
亏你能欣赏他的幽默感…,5
这一看就不对劲吧！,5
呃，怎么印了这么多没用的东西？,5
搞了这么久，怪盗团原来就是盗宝团啊…,5
怎么这样…,5
绮良良说得我好在意…,5
欸嘿？,5
唔…,5
锁国令，真的让从国外来的大家很难办呢。,5
信？让我看看！,5
欸！,5
哦————,5
哦————,5
没事吧，你看上去有点怪怪的。,5
还是小心观察一下，被射中的话就糟糕了…,5
呃…,5
这是什么，我还是第一次见到！,5
就算你这么说…,5
嗯，有道理，毕竟以前是残暴的统治者，名声很不好嘛。,5
看上去一幅歇斯底里的样子。总是挂在嘴边的礼貌和优雅，完全不见了呢。,5
唔…唔…,5
奥兹你先不要翻译，让我猜猜！唔…她的意思是，不用谢！,5
怎么这次奥兹翻译的方向完全反过来了。,5
哎？哎…？,5
唔唔唔…酒鬼…,5
哎呀…,5
两层楼高的礼物，怎么想都会吓到别人吧…,5
什么，还有下次呀？！,5
卖唱的要赚翻了吧…,5
这是什么，快打开看看！,5
哈？以恐吓为手段的骗局？,5
原来你是个酒鬼呀…,5
哎哎哎哎——？！,5
唔…唔…啊！,5
那个不是真的，只是粉丝引起注意的送礼手段而已。,5
不对吧！为什么要这样想。柯莱的性格哪里不好了啦。,5
呃…确实算是撒了谎，可要为这种善意的谎言把她排除在外，总觉得…,5
好吧…连标题都不太能听懂…,5
喂，你刚刚的斗志都去哪了？,5
噫——吊胃口。,5
什么啊突然那么娇羞…,5
越来越不对了…,5
哦哦。$UNRELEASED,5
说实话，我还以为群玉阁要再砸下去一次呢…,5
事情是解决了，但出了那种大乱子，真不知道海灯节能不能接着办下去…,5
刚才我完全插不上话欸…,5
原来还要负责上门送礼，做七星可真辛苦啊…,5
还真敢说啊他…,5
一听就是劳碌命啊…,5
现在不也是被抓了嘛。,5
哎，哎，那我也…,5
而且，不上当受骗的关键是不把摩拉交出去…,5
哎呀，哎呀你看他…,5
呃，怎么感觉名号越说越回去了…,5
欸…欸！,5
唔…我承认，都是我不好…,5
还说过她年轻时候爱漂亮…什么什么的。,5
那家伙…？,5
韵脚押得不错…呸呸，我也跟着押上了。不过你们这样子，不会搞出什么安全隐患吗？,5
干脆就叫它煮饭机好了嘛…唔，还是算了。,5
说是今日来不来捧场随他心意，来日饭局切莫推脱。,5
唔…虽然打败了他，但总感觉高兴不起来呢。,5
真正看到火一和其他同伴受伤的时候，你还是不忍心的。,5
可是，只凭一个模糊的印象，就把眼前的伙伴也当成凶恶的敌人…时间一长，还是骗不过你自己的吧。,5
大家都说式神是驱邪斩魔的帮手，那说不定你就是被放在这里镇守大门的呀！,5
哎？真的这么厉害吗？！,5
辛焱，你刚才是不是故意不提我们进过秘境的事呀？嘿嘿…我发现了哦！,5
唔…但摇滚本身就很厉害对吧？赶快去看看，否则万一她因为扰乱治安被逮捕就糟了！,5
他好难过的样子…,5
唉，凯亚的思维总是这么跳跃！真亏罗莎莉亚能跟他一起喝酒…,5
不过那句话怎么说的来着…来都来了！,5
我完全理解了！但能不能记住就…,5
对哦，习惯性蹭上了…,5
还让人指路了啊…我猜猜看，你是专程赶来喝东西的？,5
哎…？,5
话虽如此，这把剑果然还是太…呀！,5
结冰的纸那么脆，一碰就碎了吧？,5
咦…这种时候倒很现实了…,5
我倒觉得它只是个普通的小偷啦。,5
这样吗…亏我还以为炼金术是万能的呢…,5
呜哇…还真是乱啊…,5
是吗？那就是我不喜欢干等着的关系吧…好无聊呀。,5
既然差的石头只能做出次品颜料，带回去也没意义，而且我看它的光泽度确实不行，根本派不上用处嘛。,5
怎么听开头就感觉不靠谱…,5
不了不了，我怕冷…,5
让我看看！,5
哎——？！,5
唔…,5
就算你这么说…,5
琴团长，衣服怎么？！,5
完全就是认识的人呀！,5
信？快看看写了什么！,5
一条！,5
完全不能理解。,5
这个就是那家伙提到的机关了吧。这怎么够得着呢？,5
完全不知道是什么歪理…但又很有道理的样子…,5
论胡扯，说书先生都比不过胡桃呢。,5
他已经不是从前那样了，变得连话都不会说，没办法告诉你呀…,5
北斗跟凝光小姐的口味，根本完全相反嘛！,5
魈——！,5
不过，这些菜你会做吗？别是看着眼熟，其实不会吧！哼哼…,5
欸！,5
公子那家伙，嘴上说自己心情不好，但其实还是那副老样子呢。,5
唔…,5
听起来只是你不信任水神而已嘛。,5
我只是觉得大小姐穿得这么好看，居然在这里打蛋清，也不怕弄脏了吗？,5
老实说，让你失望了…,5
就是这个被烧断了，才让水箱掉下来了吧。,5
承重的绳子里居然有这种东西，这不就说明…,5
我说哪里有点眼熟，原来那时候的那个小偷就是你！,5
一下子从孤儿变成了贵族家的养子？,5
你…呃…还是你有办法。,5
你不是说散伙饭不作数嘛，那我们就还是搭档了呀？,5
单纯只靠推论和猜测也不是办法，我们不是还有那个吗！,5
一开始你们说刺玫会也有光辉的过去，我还以为是在吹牛呢。,5
就是说，鱼死网破吧…,5
越看越觉得悲伤，她们明明都有自己的生活，唉…,5
噫…这次倒是个成年人，不过怎么比之前的孩子更起劲了…,5
欸！,5
当老师的魈…也太严格了。,5
欸，一顿饭而已嘛！,5
轻策庄都是些可怜又孤单的老头子呢。,5
欸！原来天叔已经当爷爷了！,5
喂，你的口吻怎么像迪卢克老爷评判骑士团一样？,5
他就是看看，不要跟小孩子认真呀…,5
噗…,5
这么说，怪不得你敢带托克来这里，原来是早就做过功课了呀。,5
唔…这话听起来像哄三岁小孩的把戏…,5
为什么突然问这个！,5
有、有点吓人…,5
欸欸——？！,5
感觉你只是随便说说…,5
爱德琳小姐拜托我们整理信件，可我们又看不出这些信的顺序啊。,5
迪卢克老爷，你换这身衣服了？还把头发扎起来了呢。,5
杜拉夫先生的想法跟丽莎小姐很像呢，这就是成熟大人的思考方式吗…,5
说得真好听，我才不会被骗呢。你嘴里说的美妙是指疯狂喝酒吧。,5
…不对，巧过头了！这歌谣该不会是卖唱的现编的吧！,5
哼，算了，不是什么重要的内容。,5
城里放炮禁闭室报到、炸弹伤人琴找上门、放火烧山可莉完蛋？,5
宝物失踪可是大事，要不我们帮你找回来吧！,5
但是，总觉得这个家伙已经醉醺醺的了…,5
怎么着？,5
什么嘛，还要猜谜吗？,5
原来搞错了呀，怪不得我这么聪明都猜不出来！,5
唔啊…,5
什么？！,5
喂，你还好吗？,5
唔…唔…,5
啊不不，只是觉得人偶这种东西出现在这个故事里有点诡异…被你这么一提醒，更像鬼故事了啊！,5
原来论文可以随便编的吗？我还以为你写的那种叫小说呢。,5
你、你笑什么？,5
喂，你怎么了…脸色不太好看呢。,5
喂！现在怎么办？,5
呃…,5
为这样的结果做到这种地步…不会后悔吗？,5
走掉了呢…,5
这里也什么都没有，感觉白跑了一趟…,5
怎么办，好像冷场了…,5
高空逃生魔术？！,5
唔…,5
唔…,5
唔…,5
你们两家不是变成一家人了吗，不要紧的吧？,5
呃，你好…言重了，此番登门，略显唐突，礼数不周，还、还请…,5
唔…唔？！,5
呼…呼…跑得好累…,5
总感觉，这位仙人的脾气不太好呢…,5
什么？！,5
这就是有钱人的世界吗…,5
是有钱到了从来不用省一些小钱的地步吗！,5
啊，这真的可以吗…明明老板之前还是一毛不拔的样子…,5
嗯…就像那个卖唱的掀起来的风一样的厉害手段。,5
怎么办…唉，这次，也只能再找公子求助了吧…,5
唔…唔…,5
你这么说，确实也有点道理…,5
什么？！,5
要不是出黄金屋的时候刚好看到群玉阁在天上飞，现在还根本不知道该往哪跑呢…,5
什么嘛…我…我就看看…,5
轰…唔!,5
欸？！戴眼罩的漂亮女人？,5
唔…不聪明的话，那好像就只剩下一个人了…,5
你被骗也不是一回两回了吧？,5
这样看，不仅是挺清楚的…简直是清楚得过了头呀！,5
虽然这样说，但总觉得还有哪里不对劲，不过平藏也确实把奉行所的资料都给我们看过了，好头疼呀…,5
看起来，好像这个鹰司勇是个挺和善的人呢，就是感觉这个口气怪怪的…,5
嗯？你看！,5
咿——？！,5
看来是有一些不该追问的过往呐…,5
这好像不算什么技术吧！,5
迪卢克老爷对生活的想象还真是严苛呢…,5
唔吼——,5
丝毫无法理解到底勤奋在哪里！,5
堵住了呢。,5
呃…,5
什么？！,5
欸…突然就变成了很糟糕的评价呢。,5
客栈开在这种地方，生意当然不会好了…,5
其实我吃饭的时候就很奇怪…,5
所以…可莉年纪这么小，就算听了那些高深的知识，也听不懂吧。,5
欸，你怎么不说话了？,5
那直接找你的妻子聊天就好了，没必要在梦里实现嘛。,5
那边一个人都没有啊。,5
唔…,5
这就听明白了？,5
什么？！,5
但它是那种态度，我们要怎么样才能让它配合啊…,5
唔…唔…,5
是不是连驮兽都比不上了？！,5
停职了啊…,5
结果只是几只普通的史莱姆嘛…,5
哼哼。装好喝的饮料的是另一个胃。,5
唔！,5
镀金旅团内部还真是鱼龙混杂呢…,5
不要试图用听着很帅的台词糊弄过去！,5
唔，你这句话也很难理解。,5
派蒙还真是方便的道具…才不对吧！,5
唔…嗯…,5
喂…琴小姐你怎么了…,5
欸欸！？,5
这些客人不是吟游诗人吗？我当然是在找卖唱的啦。,5
如果听说有祭典，就兴冲冲地跑到稻妻来，不说孩子气吧，也总觉得有点没面子。,5
呃…真不知道是该同情你的创作环境，还是该夸你是个天才。,5
喂，你明明才刚清醒不久，就又要去喝吗？,5
其实只是不想让别人知道目的是特别饮料吧。,5
五郎看起来好勉强啊，真不知道该说他是幸运还是不幸。,5
听起来不像是人的语言啊。,5
大小太夸张了吧。,5
怎么看都很不正常吧！,5
唔…不是我们要找的东西，白高兴一场。,5
跑了这么久，嗓子都快干掉了。,5
唔…不是我们要找的东西，白高兴一场。,5
唔…不是我们要找的东西，白高兴一场。,5
大家只是来玩试胆大会的，才不是被你带来的呢！很多人跟你都不怎么熟吧！,5
我已经开始头疼了。,5
一斗！五郎也在！你们在聊什么？,5
嗯？绫华平时很少吃拉面吗？明明那么好吃！,5
平藏，胆子好大…,5
那是虚构的角色，现实中不存在啦…,5
那爱情故事的看点就没有了啊！,5
就是为了让你产生新的想法，才会邀请你出来看看啊。,5
就是嘛，总呆在一个地方肯定会憋坏的。,5
真和你的想法，差别好大…,5
唔…,5
哦？这样看来，你已经想通了嘛！,5
对啊！你是凭自己的本事回到她面前的，很厉害了！,5
真的假的，那你以前——,5
哇…这怎么好意思…,5
但仙人就是这个样子呀。我们以前见过的仙人也都是特立独行，跟普通人完全不一样呢。,5
喂，你还好吗？,5
…啊…,5
欸，你这么一说，我也觉得有些眼熟…,5
话说你不是出差吗，天天下午泡在酒馆里，不怕回去被琴团长教训吗？,5
呃…,5
唉，不过除了那个房子之外，这周围怎么空荡荡的…,5
说的也是呢…,5
唔，总觉得没法相信。,5
不过，这里毕竟是玛格丽特小姐的酒馆，你用仙术这样改造，她知道了不会生气吧！,5
不过，这里毕竟是玛格丽特小姐的酒馆，你用仙术这样改造，她知道了不会生气吧！,5
但是我听说世界上有种东西叫大额诈骗。它们前期会给很多好处来培养信任，降低受害者的警惕。,5
那璃月人民有点可怜啊。,5
好难理解啊…,5
为什么现在突然想吃这个啊！,5
金发…衣着不同寻常的陌生人。总感觉这样的形容之前就听过一次了…,5
你说的这些可能性都太模糊了，一点头绪都没有啊…,5
对了，这场武斗会是不允许有神之眼的人参加的。,5
感觉还不如普通人，不知道他的自信心从哪里来的…,5
喂喂喂，不会吧！难道说？！,5
听起来挺玄乎的，但以前追那个偷神之眼的毛贼还派上了大用场。,5
算啦，虽然他罪无可恕，但也有可怜的地方嘛。,5
唔…,5
但这也是没办法的事吧…,5
这也太小了吧！,5
有道理哦…,5
要不然随便挑一个好了，反正也不是真的要用…,5
她的状态有点奇怪啊。,5
喂，你还好吗！,5
喂，难道说我们…,5
唔…唔…,5
怎么就醒过来了，我还没看够呢。,5
这么多！,5
这么多锦囊，心海要写多久啊。每一种情况都要考虑，想想就让人头疼…,5
唔…但是，故意囤积这些必需品，明显也是个坏家伙。,5
虽然你说自己大名鼎鼎，可是我们没听说过你呀。,5
这也太粗放了…,5
有道理。,5
那也太长寿了吧！,5
可我们两个身上，也没什么值钱的东西。,5
这么说也有道理！,5
唔……,5
我们也知道是很无礼的要求，但真的只借一会儿…,5
唔……,5
你怎么了？突然脸色变得这么难看。,5
那可怎么办啊？,5
等等，这也太直接了吧。,5
对，应该是要这样回答没错，不过吃了会头晕耳鸣的香辛果，想想真是可怕。,5
不对呀，那张纸上说了，学识广的答案才对应中暑。呃…不管怎么样，吃了就会中暑的东西也太可怕了一点。,5
唔…,5
唔…总感觉你好像在敷衍我们。,5
是呀…唉…,5
哈欠——都怪你赖床，我们要迟到了。,5
纳西妲还是很喜欢用这种奇奇怪怪的比喻呢。,5
这样吗…果然占卜也只是占卜而已，没法解决实际的问题呀。,5
问不出目的，那就还是直接一点吧，找个地方翻墙出去，反正那些卫兵又没有一千只手、一百颗眼睛。,5
我还以为见不到你了！你突然就消失了呀！,5
唉…还是有点难以接受，明明我们都已经迈出这么大的一步了，可迪娜泽黛还是…,5
所以它们也只是替代品。,5
欸！,5
啊…唔，等等，好像冷不丁知道了什么不得了的事，原来凯瑟琳是…怪不得有那么多奇怪的地方啊。,5
大半夜的，当然安静啦，你现在就开始疑神疑鬼了吗？,5
唔，看出来了，你过去模仿凯瑟琳的时候一点也不像。,5
