texts,labels
喝茶不能算是必要的事，但一想到五百年前那位慈祥的老爷爷遭遇了那么多事，我就很难过…,3
虽然它已经损坏了，可一想到它要被拆掉，我还是觉得有点难过。,3
自从进了须弥城，我们就在马不停蹄地打探消息。可我总觉得，得到的情报越来越不乐观了。,3
想到纳西妲一直一个人被关在净善宫，就觉得她真的好可怜…,3
唉…看起来没什么线索呢。,3
唉，本来我还想替雷泽感谢丽莎在幕后做的那些好事呢…,3
只有你一个人记得这种事情，的确很让人伤感…但我会一直在的，我们一起聊天就会好起来。,3
可是我总感觉还没看过瘾…毕竟在歌剧院只顾着聊天，前半场魔术根本没看到。,3
可惜她现在很忙，应该没时间参加这样的集会。,3
是啊，感觉外国人在稻妻，只是生存就已经很难了…,3
虽然有点可惜，但目前看来，也只能这样了吧。,3
…要是我们真是什么仙使就好了。,3
唉，没有家人的地方，真的能叫家吗…,3
是说得通，可是…那些人也没有因此迎来好结局啊…,3
好遗憾呀，我还以为他把摩拉也都藏这里了。,3
想到有那么多元素生命都变成了死域瘤，我就好难过。,3
而且，甚至都没机会跟他说一句再见…呜…,3
怎么还哭了，感觉他也受过很多委屈…,3
可是有一点，海妮耶说得有道理呢…意智宝珠不是万能的，只要那个缺点还在，蕈兽伙伴就不能一直待在普通人身边。,3
怎么办，好像冷场了…,3
唉，今天发生了好多事呀，可惜最后这样遗憾收场…,3
呃…我们应该说谢谢夸奖，还是解释我们没有传闻中那么恐怖呢…,3
…对不起对不起！是我不小心…,3
那天晚上我哭得非常伤心，直到今天，我还能记得那时候我有多难过，我不想让可莉也感受到这些。,3
我很喜欢枫叶，可惜枫叶红时，总多离别。,3
结果我们一开始的担心好像快要应验了…我还想和咚咚小圆帽无忧无虑地一起玩呢！,3
